StudentID,Name,Grade,Score,Subject,Semester
1,Student_1,B,89.9,History,Fall 2024
2,Student_2,A-,60.3,CS,Spring 2025
3,Student_3,B-,65.0,History,Spring 2025
4,Student_4,C,72.5,CS,Spring 2024
5,Student_5,C,72.2,English,Fall 2024
6,Student_6,C-,79.2,Science,Fall 2024
7,Student_7,B+,62.3,History,Spring 2025
8,Student_8,A-,50.9,Science,Spring 2025
9,Student_9,C-,48.3,Science,Fall 2024
10,Student_10,C+,59.3,Science,Spring 2024
11,Student_11,B+,53.7,English,Spring 2025
12,Student_12,C,63.4,Math,Spring 2024
13,Student_13,C,87.6,History,Spring 2024
14,Student_14,C+,62.3,Math,Spring 2025
15,Student_15,C+,62.3,Math,Spring 2024
16,Student_16,B,67.8,Math,Spring 2024
17,Student_17,B-,61.9,Science,Fall 2024
18,Student_18,B-,67.0,CS,Spring 2024
19,Student_19,C-,76.1,Science,Fall 2024
20,Student_20,C-,81.3,Science,Spring 2025
21,Student_21,C-,83.0,Math,Spring 2025
22,Student_22,A+,98.9,Science,Fall 2024
23,Student_23,C,76.5,Math,Spring 2025
24,Student_24,C,100.0,CS,Spring 2024
25,Student_25,C+,56.4,History,Spring 2024
26,Student_26,C,99.4,Math,Spring 2024
27,Student_27,C-,62.3,CS,Spring 2025
28,Student_28,B,63.8,History,Spring 2024
29,Student_29,B-,66.2,English,Spring 2025
30,Student_30,A,64.7,Math,Spring 2024
31,Student_31,B,69.3,Math,Fall 2024
32,Student_32,C+,59.3,English,Spring 2025
33,Student_33,C,80.4,English,Spring 2025
34,Student_34,A-,59.7,Math,Spring 2024
35,Student_35,A,77.8,English,Spring 2025
36,Student_36,C+,90.9,Science,Spring 2025
37,Student_37,A+,62.6,History,Fall 2024
38,Student_38,A-,79.9,History,Fall 2024
39,Student_39,A+,76.4,History,Spring 2024
40,Student_40,A-,100.0,Science,Fall 2024
41,Student_41,A-,60.4,English,Spring 2024
42,Student_42,B,79.9,CS,Spring 2024
43,Student_43,B,43.6,English,Spring 2024
44,Student_44,C-,60.6,Math,Spring 2025
45,Student_45,B-,73.3,History,Fall 2024
46,Student_46,C,88.9,English,Spring 2024
47,Student_47,A,49.6,CS,Fall 2024
48,Student_48,A-,79.8,Math,Spring 2024
49,Student_49,C+,67.1,Science,Fall 2024
50,Student_50,A,45.2,Science,Fall 2024
51,Student_51,B,70.7,CS,Spring 2024
52,Student_52,B-,93.6,Math,Spring 2025
53,Student_53,C+,51.2,History,Fall 2024
54,Student_54,A+,66.4,English,Spring 2025
55,Student_55,B+,53.2,Math,Spring 2025
56,Student_56,C+,61.0,Science,Spring 2024
57,Student_57,A,89.5,CS,Spring 2024
58,Student_58,C+,63.9,CS,Spring 2024
59,Student_59,C,89.0,English,Fall 2024
60,Student_60,F,84.6,CS,Spring 2024
61,Student_61,A-,62.6,CS,Spring 2024
62,Student_62,C-,60.5,Math,Fall 2024
63,Student_63,B-,54.6,History,Fall 2024
64,Student_64,B,54.0,English,Spring 2024
65,Student_65,A,73.3,Math,Spring 2024
66,Student_66,C,67.7,History,Spring 2024
67,Student_67,B+,58.6,Math,Spring 2024
68,Student_68,B,44.8,Math,Spring 2025
69,Student_69,A,69.6,CS,Spring 2025
70,Student_70,C,61.0,History,Spring 2024
71,Student_71,C,65.1,English,Spring 2025
72,Student_72,C,72.6,English,Fall 2024
73,Student_73,B+,30.5,History,Spring 2025
74,Student_74,A-,45.0,CS,Spring 2025
75,Student_75,C+,100.0,Science,Spring 2024
76,Student_76,B,60.4,Math,Spring 2025
77,Student_77,A-,30.2,CS,Spring 2025
78,Student_78,C+,46.3,History,Spring 2025
79,Student_79,F,100.0,Math,Spring 2025
80,Student_80,C,57.5,English,Fall 2024
81,Student_81,C,85.4,Science,Spring 2024
82,Student_82,D,69.8,English,Spring 2024
83,Student_83,A-,60.7,History,Fall 2024
84,Student_84,B-,79.6,Math,Spring 2025
85,Student_85,F,32.2,History,Fall 2024
86,Student_86,A-,46.4,Math,Spring 2025
87,Student_87,C+,60.6,CS,Fall 2024
88,Student_88,B-,47.9,Science,Spring 2024
89,Student_89,B-,59.3,CS,Spring 2024
90,Student_90,C+,80.8,CS,Spring 2024
91,Student_91,D,70.0,History,Spring 2025
92,Student_92,C,88.0,Science,Spring 2025
93,Student_93,A,70.9,Math,Fall 2024
94,Student_94,C-,82.9,Math,Fall 2024
95,Student_95,A-,67.0,English,Spring 2024
96,Student_96,B,59.1,Math,Spring 2025
97,Student_97,B,90.2,History,Fall 2024
98,Student_98,B,57.4,CS,Spring 2025
99,Student_99,B,73.2,CS,Spring 2025
100,Student_100,D,79.5,CS,Spring 2024
101,Student_101,C+,80.6,Science,Spring 2024
102,Student_102,C+,50.5,Math,Spring 2025
103,Student_103,A+,83.8,History,Spring 2025
104,Student_104,D,53.3,Science,Spring 2025
105,Student_105,D,80.2,English,Spring 2025
106,Student_106,C,76.0,History,Spring 2024
107,Student_107,A+,80.3,History,Fall 2024
108,Student_108,A,49.9,History,Spring 2024
109,Student_109,A-,76.8,CS,Fall 2024
110,Student_110,A,84.3,History,Spring 2025
111,Student_111,B,70.9,Math,Fall 2024
112,Student_112,D,55.7,History,Spring 2024
113,Student_113,B,81.8,CS,Spring 2024
114,Student_114,A+,69.7,History,Spring 2025
115,Student_115,B+,42.9,English,Spring 2024
116,Student_116,A+,54.6,English,Spring 2025
117,Student_117,A+,60.1,CS,Spring 2024
118,Student_118,B+,90.6,Math,Spring 2024
119,Student_119,B+,88.0,Math,Spring 2025
120,Student_120,C,87.9,Science,Fall 2024
121,Student_121,F,71.5,CS,Spring 2024
122,Student_122,B,81.7,History,Fall 2024
123,Student_123,B,50.9,CS,Spring 2024
124,Student_124,C-,68.1,Science,Spring 2024
125,Student_125,B+,74.8,CS,Spring 2024
126,Student_126,A-,51.9,CS,Spring 2024
127,Student_127,C-,71.1,Science,Fall 2024
128,Student_128,A+,93.3,Math,Fall 2024
129,Student_129,C+,76.4,History,Spring 2024
130,Student_130,B-,81.8,Science,Spring 2024
131,Student_131,B+,31.2,English,Fall 2024
132,Student_132,B+,91.4,Math,Spring 2025
133,Student_133,C,65.2,English,Spring 2025
134,Student_134,A,56.5,Math,Fall 2024
135,Student_135,B+,65.4,History,Spring 2024
136,Student_136,C,45.7,History,Spring 2024
137,Student_137,B-,83.7,CS,Spring 2025
138,Student_138,A,63.0,English,Spring 2025
139,Student_139,C-,56.9,Math,Fall 2024
140,Student_140,B,65.5,History,Spring 2025
141,Student_141,C-,84.8,Science,Fall 2024
142,Student_142,C,70.0,History,Spring 2025
143,Student_143,C+,46.9,Science,Spring 2025
144,Student_144,B,75.0,Math,Spring 2025
145,Student_145,F,54.1,History,Spring 2024
146,Student_146,A,35.7,History,Spring 2024
147,Student_147,C,90.4,Math,Spring 2024
148,Student_148,A-,74.9,History,Spring 2025
149,Student_149,B+,66.8,Science,Fall 2024
150,Student_150,B+,62.8,History,Fall 2024
151,Student_151,D,89.0,English,Fall 2024
152,Student_152,F,100.0,CS,Fall 2024
153,Student_153,A-,74.7,Science,Spring 2024
154,Student_154,A+,52.6,English,Spring 2024
155,Student_155,C,65.7,Math,Spring 2025
156,Student_156,B,74.5,Science,Spring 2025
157,Student_157,A,32.8,CS,Fall 2024
